"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","审核通过留言成功","","0","0","1","0","0"
"","搜索留言失败","","0","0","2","0","0"
"","搜索用户成功","","0","0","1","0","0"
"","正确跳转路径","","0","0","1","0","0"
"","搜索留言成功","","0","0","1","0","0"
"","修改场馆信息失败","","0","0","3","0","0"
"","搜索场馆成功","","0","0","1","0","0"
"","修改新闻失败","","0","0","1","0","0"
"","删除用户成功","","0","0","1","0","0"
"","查看新闻图片成功","","0","0","1","0","0"
"","错误地审核订单","","0","0","1","0","0"
"","查看新闻图片失败","","0","0","1","0","0"
"","添加新闻失败场景","","0","0","2","0","0"
"","搜索订单失败","","0","0","2","0","0"
"","错误地登录2","","0","0","1","0","0"
"","修改新闻成功","","0","0","1","0","0"
"","添加场馆失败","","0","0","4","0","0"
"","删除新闻成功","","0","0","1","0","0"
"","搜索用户失败","","0","0","2","0","0"
"","修改密码成功","","0","0","1","0","0"
"","改变表格页码","","0","0","2","0","0"
"","升级用户为管理员成功","","0","0","1","0","0"
"","搜索订单成功","","0","0","1","0","0"
"","错误地升级用户","","0","0","1","0","0"
"","搜索场馆失败","","0","0","2","0","0"
"","错误地修改密码1","","0","0","1","0","0"
"","查看订单统计数据","","0","0","1","0","0"
"","错误地修改密码2","","0","0","1","0","0"
"","错误地修改密码3","","0","0","1","0","0"
"","修改场馆信息成功","","0","0","1","0","0"
"","添加新闻成功","","0","0","1","0","0"
"","审核通过订单成功","","0","0","1","0","0"
"","正常注销用户","","0","0","1","0","0"
"","错误地删除新闻","","0","0","1","0","0"
"","错误地登录1","","0","0","1","0","0"
"","正确登录","","0","0","1","0","0"
"","错误地审核留言","","0","0","1","0","0"
"","添加场馆成功","","0","0","1","0","0"
"","错误地删除用户","","0","0","1","0","0"
